seqid	sample	count	relab	domain	phylum	class	order	family	genus	species
08135439d312c5bdb27840a374c9fa92	P28309_1062	2	3.852896414879886e-5	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ce05acb50b78c253f004724bd4bdf9ca	P28309_1061	188	0.002065843259636939	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Thermotaleaceae	NA	NA
ce05acb50b78c253f004724bd4bdf9ca	P28309_1062	42	8.09108247124776e-4	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Thermotaleaceae	NA	NA
ce05acb50b78c253f004724bd4bdf9ca	P28309_1063	173	0.001893690616927186	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Thermotaleaceae	NA	NA
4841ec9a9aae8df465311ebe32b88ccc	P28309_1061	157	0.00172519889235638	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA
4841ec9a9aae8df465311ebe32b88ccc	P28309_1062	63	0.001213662370687164	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA
4841ec9a9aae8df465311ebe32b88ccc	P28309_1063	164	0.0017951749200928236	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA
b8a4e3fec7a759b6b563c15ac9ca22e5	P28309_1061	106	0.0011647839655399763	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	Methylophaga muralis
b8a4e3fec7a759b6b563c15ac9ca22e5	P28309_1062	50	9.632241037199715e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	Methylophaga muralis
b8a4e3fec7a759b6b563c15ac9ca22e5	P28309_1063	221	0.0024191076667104514	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	Methylophaga muralis
2db8fbea42d477e3f6a591244ed10e80	P28309_1063	24	2.627085248916327e-4	Bacteria	NA	NA	NA	NA	NA	NA
15413e0e2598ce3bd1d1cc287dc795e7	P28309_1061	136	0.001494439804843743	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	Bellilinea caldifistulae
15413e0e2598ce3bd1d1cc287dc795e7	P28309_1062	29	5.586699801575835e-4	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	Bellilinea caldifistulae
15413e0e2598ce3bd1d1cc287dc795e7	P28309_1063	190	0.002079775822058759	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	Bellilinea caldifistulae
8cb24777cb48dde0aac60dfeca125d10	P28309_1064	25	0.011452130096197893	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
